Flips,Wins,Permutations,Win Ratio
0,0,1,0.0
1,1,2,0.5
2,2,4,0.5
3,4,8,0.5
4,9,16,0.5625
5,17,32,0.53125
6,37,64,0.578125
7,71,128,0.5546875
8,150,256,0.5859375
9,292,512,0.5703125
10,606,1024,0.591796875
11,1190,2048,0.5810546875
12,2444,4096,0.5966796875
13,4824,8192,0.5888671875
14,9844,16384,0.600830078125
15,19492,32768,0.594848632812
16,39609,65536,0.604385375977
17,78593,131072,0.599617004395
18,159241,262144,0.607456207275
19,316427,524288,0.603536605835
20,639771,1048576,0.610133171082
21,1272625,2097152,0.606834888458
22,2568963,4194304,0.612488508224
23,5114213,8388608,0.609661698341
24,10310925,16777216,0.614579021931
25,20539351,33554432,0.612120360136
26,41369213,67108864,0.616449311376
27,82447915,134217728,0.614284835756
28,165929241,268435456,0.618134591728
29,330825071,536870912,0.616209713742
30,665357993,1073741824,0.619662919082
31,1327008135,2147483648,0.617936316412
32,2667418966,4294967296,0.621056874748
33,5321435236,8589934592,0.61949659558
34,10691630838,17179869184,0.62233482243
35,21334501310,34359738368,0.620915709005
36,42847407776,68719476736,0.623511845712
37,85516410396,137438953472,0.622213777358
38,171688864648,274877906944,0.624600451003
39,342721685440,549755813888,0.623407114181
40,687866677926,1099511627776,0.6256110991
41,1373310048806,2199023255552,0.62450910664
42,2755607525078,4398046511104,0.626552611056
43,5502227622690,8796093022208,0.625530858848
44,11037908939866,17592186044416,0.627432481216
45,22042364185246,35184372088832,0.626481670032
46,44209664628618,70368744177664,0.628257121045
47,88294392999110,140737488355328,0.627369395539
48,177056781869996,281474976710656,0.629032050874
49,353645567868216,562949953421312,0.628200723206
50,709049035755532,1125899906842624,0.629762052067
51,1416340171491964,2251799813685248,0.628981387637
52,2839300189404480,4503599627370496,0.63045128882
53,5671980532388408,9007199254740992,0.629716338228
54,11368948264269520,18014398509481984,0.631103406438
55,22712909329046336,36028797018963968,0.630409872333
56,45520339408501380,72057594037927936,0.631721611251
57,90946158066594052,144115188075855872,0.631065741792
58,182250584835347172,288230376151711744,0.632308736049
59,364142900968535276,576460752303423488,0.63168723892
60,729646312855880988,1152921504606846976,0.632867294036
61,1457932114792951540,2305843009213693952,0.632277266478
62,2921039727006805820,4611686018427387904,0.633399523587
63,5836903956592708900,9223372036854775808,0.632838395033
64,11693528046645547449,18446744073709551616,0.63390742561
65,23367335959830965249,36893488147419103232,0.633372910321
66,46809926117999108345,73786976294838206464,0.634392794888
67,93544598037661038843,147573952589676412928,0.633882852604
68,187376786404071498643,295147905179352825856,0.63485724654
69,374465982479393576329,590295810358705651712,0.634370049572
70,750032499329686304379,1180591620717411303424,0.635302238444
71,1498964464288473457037,2361183241434822606848,0.634836144008
72,3002145748442753367057,4722366482869645213696,0.635729090348
73,6000074677019700281131,9444732965739290427392,0.635282617178
74,12016325972291067468737,18889465931478580854784,0.636139000217
75,24016475326330468030999,37778931862957161709568,0.635710808698
76,48095078075237224710837,75557863725914323419136,0.636533058289
77,96128028727898160772835,151115727451828646838272,0.636121933493
78,192494918741159616895909,302231454903657293676544,0.636912259191
79,384750976196955938441579,604462909807314587353088,0.636517096342
80,770421239051005148033787,1208925819614629174706176,0.637277512442
81,1539923191444917024916945,2417851639229258349412352,0.636897304392
82,3083387796589203813093339,4835703278458516698824704,0.63762965158
83,6163234179479037862927229,9671406556917033397649408,0.637263477986
84,12340123691249083387247927,19342813113834066795298816,0.637969442119
85,24666592050207159113102385,38685626227668133590597632,0.637616460053
86,49385883862617230331557479,77371252455336267181195264,0.638297588515
87,98719067963031548557762249,154742504910672534362390528,0.637957024284
88,197641689167471094572537907,309485009821345068724781056,0.63861474028
89,395079825093534191688062405,618970019642690137449562112,0.638285882282
90,790946503548069377526226259,1237940039285380274899124224,0.638921497365
91,1581106153735137760902351069,2475880078570760549798248448,0.638603689823
92,3165256278685353764028057307,4951760157141521099596496896,0.639218414915
93,6327468586155629285832759445,9903520314283042199192993792,0.638911052369
94,12666721472237869987278920379,19807040628566084398385987584,0.639506007473
95,25321658644549128558944439269,39614081257132168796771975168,0.639208529921
96,50688970362782059580388709517,79228162514264337593543950336,0.639784752722
97,101332287651880316698277588055,158456325028528675187087900672,0.639496641321
98,202841556275686605224532998989,316912650057057350374175801344,0.6400550948
99,405506131579447238621088175099,633825300114114700748351602688,0.639775868061
100,811698796376000066208208781649,1267650600228229401496703205376,0.640317447276
